teamIDwinner,teamIDloser,yearID,round,wins,losses,ties
NYA,MIN,2017,ALWC,1,0,0
HOU,NYA,2017,ALCS,4,3,0
NYA,CLE,2017,ALDS1,3,2,0
HOU,BOS,2017,ALDS2,3,1,0
ARI,COL,2017,NLWC,1,0,0
LAN,CHN,2017,NLCS,4,1,0
LAN,ARI,2017,NLDS1,3,0,0
CHN,WAS,2017,NLDS2,3,2,0
HOU,LAN,2017,WS,4,3,0
NYA,OAK,2018,ALWC,1,0,0
BOS,HOU,2018,ALCS,4,1,0
BOS,NYA,2018,ALDS1,3,1,0
HOU,CLE,2018,ALDS2,3,0,0
COL,CHN,2018,NLWC,1,0,0
LAN,MIL,2018,NLCS,4,3,0
MIL,COL,2018,NLDS1,3,0,0
LAN,ATL,2018,NLDS2,3,1,0
BOS,LAN,2018,WS,4,1,0
TBA,OAK,2019,ALWC,1,0,0
HOU,NYA,2019,ALCS,4,2,0
HOU,TBA,2019,ALDS1,3,2,0
NYA,MIN,2019,ALDS2,3,0,0
WAS,MIL,2019,NLWC,1,0,0
WAS,SLN,2019,NLCS,4,0,0
WAS,LAN,2019,NLDS1,3,2,0
SLN,ATL,2019,NLDS2,3,2,0
WAS,HOU,2019,WS,4,3,0
TBA,TOR,2020,ALWC1,2,0,0
NYA,CLE,2020,ALWC2,2,0,0
HOU,MIN,2020,ALWC3,2,0,0
OAK,CHA,2020,ALWC4,2,1,0
TBA,NYA,2020,ALDS1,3,2,0
HOU,OAK,2020,ALDS2,3,1,0
TBA,HOU,2020,ALCS,4,3,0
LAN,MIL,2020,NLWC1,2,0,0
SDN,SLN,2020,NLWC2,2,1,0
MIA,CHN,2020,NLWC3,2,0,0
ATL,CIN,2020,NLWC4,2,0,0
LAN,SDN,2020,NLDS1,3,0,0
ATL,MIA,2020,NLDS2,3,0,0
LAN,ATL,2020,NLCS,4,3,0
LAN,TBA,2020,WS,4,2,0
BOS,NYA,2021,ALWC,1,0,0
HOU,CHA,2021,ALDS1,3,1,0
BOS,TBA,2021,ALDS2,3,1,0
HOU,BOS,2021,ALCS,4,2,0
LAN,SLN,2021,NLWC,1,0,0
ATL,MIL,2021,NLDS1,3,1,0
LAN,SFN,2021,NLDS2,3,2,0
ATL,LAN,2021,NLCS,4,2,0
ATL,HOU,2021,WS,4,2,0
CLE,TBA,2022,ALWC1,2,0,0
SEA,TOR,2022,ALWC2,2,0,0
NYA,CLE,2022,ALDS1,3,2,0
HOU,SEA,2022,ALDS2,3,0,0
HOU,NYA,2022,ALCS,4,0,0
SDN,NYN,2022,NLWC1,2,1,0
PHI,SLN,2022,NLWC2,2,0,0
PHI,ATL,2022,NLDS1,3,1,0
SDN,LAN,2022,NLDS2,3,1,0
PHI,SDN,2022,NLCS,4,1,0
HOU,PHI,2022,WS,4,2,0
